date,energy,impact_e,lat,lat_dir,lon,lon_dir,alt,vel
6/18/2005,2.3,0.082,47.9,N,-85.6,E,NA,NA
6/5/2005,4.1,0.14,34.8,N,-90.9,E,NA,NA
6/3/2005,8.2,0.25,-31,S,90.3,W,29.6,26.2
5/27/2005,2,0.073,-48.9,S,-145.1,E,50.5,NA
5/14/2005,12.9,0.38,NA,<NA>,NA,<NA>,NA,NA
5/7/2005,2.6,0.092,-75.8,S,-163.7,E,15.2,16.6
5/2/2005,4.6,0.15,17.7,N,-36,E,NA,NA
4/22/2005,2.2,0.079,20.9,N,36.7,W,37,NA
4/19/2005,23.2,0.64,-50.2,S,146.4,W,38.5,16.8
4/16/2005,2,0.073,NA,<NA>,NA,<NA>,NA,NA
4/15/2005,2.1,0.076,-43.8,S,73.9,W,39,NA
4/14/2005,7.1,0.22,4.9,N,176,W,26.5,NA
4/11/2005,10.6,0.32,-34.2,S,95.7,W,37,NA
4/6/2005,2.9,0.1,-42.7,S,-154.6,E,70,NA
4/5/2005,3.5,0.12,NA,<NA>,NA,<NA>,NA,NA
4/3/2005,21.9,0.61,-1,S,-112.4,E,59.2,NA
4/2/2005,20.4,0.57,14.1,N,-169.7,E,27.2,NA
3/31/2005,3.8,0.13,42.8,N,36.2,W,NA,NA
3/18/2005,2.7,0.095,-9.7,S,34.7,W,33,NA
3/12/2005,2.2,0.079,NA,<NA>,NA,<NA>,NA,NA
3/9/2005,5.3,0.17,-21.4,S,157.9,W,44.4,NA
3/9/2005,4,0.13,14.3,N,-142.7,E,30.7,NA
3/6/2005,5.5,0.18,NA,<NA>,NA,<NA>,NA,NA
2/17/2005,10,0.3,48,N,161.5,W,42.5,NA
1/19/2005,14.1,0.41,-27.5,S,164.9,W,40.7,NA
1/2/2005,11.9,0.35,-21.3,S,-154.7,E,35.2,21.5
1/1/2005,45.4,1.2,32.7,N,-12.4,E,31.8,NA
12/29/2004,9,0.28,-8.5,S,-171.8,E,NA,NA
12/13/2004,3.9,0.13,-9.7,S,-155.3,E,NA,NA
12/11/2004,3,0.1,36,N,-104.1,E,NA,NA
11/30/2004,18.1,0.51,61,N,171,W,NA,NA
11/17/2004,18.6,0.52,NA,<NA>,NA,<NA>,NA,NA
10/14/2004,9.3,0.28,NA,<NA>,NA,<NA>,NA,NA
10/10/2004,3,0.1,NA,<NA>,NA,<NA>,NA,NA
10/7/2004,1037,18,-27.3,S,-71.5,E,35,19.2
10/4/2004,7.1,0.22,3.7,N,150.9,W,NA,NA
9/28/2004,6.2,0.2,0.2,N,101.1,W,NA,NA
9/3/2004,726,13,-67.7,S,-18.2,E,31.5,NA
8/22/2004,144,3.2,-51.9,S,-22.7,E,37,NA
7/29/2004,2.5,0.089,NA,<NA>,NA,<NA>,NA,NA
7/25/2004,19.7,0.55,NA,<NA>,NA,<NA>,NA,NA
7/22/2004,3.5,0.12,NA,<NA>,NA,<NA>,NA,NA
7/16/2004,2.9,0.1,NA,<NA>,NA,<NA>,NA,NA
7/4/2004,7.9,0.25,NA,<NA>,NA,<NA>,NA,NA
7/3/2004,6.5,0.21,NA,<NA>,NA,<NA>,NA,NA
6/12/2004,10.4,0.31,21.7,N,-175.3,E,NA,NA
6/11/2004,10.4,0.31,NA,<NA>,NA,<NA>,NA,NA
6/5/2004,181,3.9,1.3,N,174.4,W,43,19.5
6/4/2004,33.9,0.89,NA,<NA>,NA,<NA>,NA,NA
6/3/2004,4.7,0.16,NA,<NA>,NA,<NA>,NA,NA
6/3/2004,5.4,0.18,48.9,N,120.4,W,NA,NA
5/18/2004,39.4,1,-28.1,S,47.4,W,NA,NA
5/17/2004,5.5,0.18,-18.9,S,-28.3,E,44,NA
5/6/2004,4.9,0.16,NA,<NA>,NA,<NA>,NA,NA
4/23/2004,5.6,0.18,NA,<NA>,NA,<NA>,NA,NA
4/22/2004,13.9,0.41,-15.2,S,-55.1,E,NA,NA
4/22/2004,62.4,1.5,-44.3,S,-83.3,E,29.6,16.3
4/6/2004,43.3,1.1,-12,S,-162.8,E,35,25.6
3/26/2004,2.4,0.086,-7.6,S,-155.1,E,46,NA
3/25/2004,2.1,0.076,-4.8,S,-21,E,NA,NA
2/27/2004,6,0.19,NA,<NA>,NA,<NA>,NA,NA
2/2/2004,3,0.1,-18.3,S,-52.3,E,NA,NA
1/22/2004,23.2,0.64,-50.6,S,-157.8,E,37,NA
1/17/2004,2.8,0.098,NA,<NA>,NA,<NA>,NA,NA
1/16/2004,9.8,0.3,NA,<NA>,NA,<NA>,NA,NA
1/2/2004,13.4,0.39,-28.2,S,-3.2,E,63,NA
12/9/2003,64.3,1.6,-67.1,S,90.8,W,NA,NA
11/26/2003,3.5,0.12,-22.9,S,-22.7,E,32,NA
11/10/2003,51.8,1.3,-64.5,S,-136.2,E,23,20.1
11/1/2003,7.3,0.23,-51.4,S,-151.7,E,NA,NA
10/16/2003,28.5,0.77,NA,<NA>,NA,<NA>,NA,NA
10/13/2003,3,0.1,NA,<NA>,NA,<NA>,NA,NA
10/7/2003,3.7,0.13,NA,<NA>,NA,<NA>,NA,NA
9/27/2003,215,4.6,21,N,-86.6,E,26,18.2
9/22/2003,3.3,0.11,NA,<NA>,NA,<NA>,NA,NA
9/21/2003,2,0.073,NA,<NA>,NA,<NA>,NA,NA
9/20/2003,3,0.1,NA,<NA>,NA,<NA>,NA,NA
9/2/2003,38.5,1,51.3,N,161,W,NA,NA
8/26/2003,7.2,0.23,NA,<NA>,NA,<NA>,NA,NA
8/26/2003,24.9,0.68,NA,<NA>,NA,<NA>,NA,NA
8/17/2003,64.7,1.6,-39,S,-34,E,NA,NA
8/1/2003,2.1,0.076,NA,<NA>,NA,<NA>,NA,NA
7/21/2003,5.8,0.19,NA,<NA>,NA,<NA>,NA,NA
6/22/2003,2.1,0.076,NA,<NA>,NA,<NA>,NA,NA
6/21/2003,3.8,0.13,NA,<NA>,NA,<NA>,NA,NA
6/16/2003,6.5,0.21,NA,<NA>,NA,<NA>,NA,NA
6/10/2003,3.2,0.11,-41.8,S,-122.9,E,NA,NA
5/27/2003,6.8,0.22,5.2,N,-166.2,E,NA,NA
5/19/2003,52.1,1.3,NA,<NA>,NA,<NA>,NA,NA
5/18/2003,2.1,0.076,NA,<NA>,NA,<NA>,NA,NA
5/15/2003,4.3,0.14,54,N,80.4,W,NA,NA
4/28/2003,2.3,0.082,NA,<NA>,NA,<NA>,NA,NA
