date,energy,impact_e,lat,lat_dir,lon,lon_dir,alt,vel
4/8/2015,17.3,0.49,-25.5,S,-51.5,E,36.3,19.2
4/3/2015,4.2,0.14,8.4,N,157.9,W,NA,NA
3/30/2015,6.4,0.2,-36.1,S,5.5,W,33.1,13.8
3/18/2015,12.1,0.36,-5.4,S,-159.3,E,50,NA
3/11/2015,7.2,0.23,8,N,-119.1,E,35.2,19.9
3/8/2015,2,0.073,-39.1,S,118.6,W,NA,NA
3/4/2015,5.5,0.18,-15.9,S,-88.1,E,39.8,18
2/26/2015,18.8,0.53,68,N,149,W,33.7,21.1
2/25/2015,5.8,0.19,12.4,N,122.4,W,42,NA
2/17/2015,3.3,0.11,-8,S,11.2,W,39,28.8
1/9/2015,2.2,0.079,-23.3,S,49.2,W,NA,NA
1/9/2015,13.9,0.41,2,N,-28.8,E,36,17.5
1/7/2015,13.6,0.4,45.7,N,-26.9,E,45.5,35.7
1/2/2015,2,0.073,-31.1,S,-140,E,38.1,18.1
12/13/2014,4.4,0.15,86.7,N,162.1,W,30.7,21.7
12/12/2014,3.3,0.11,33.5,N,-144.9,E,26.3,12
12/9/2014,7.8,0.24,76.6,N,-96.3,E,26.3,NA
11/28/2014,70,1.7,-45.8,S,172.7,W,26.1,13.4
11/27/2014,5.5,0.18,-18.8,S,73.4,W,38,NA
11/26/2014,11.8,0.35,-69.5,S,179.7,W,23.3,25.3
11/26/2014,10.5,0.32,-68.2,S,24,W,37,19.9
11/4/2014,15.6,0.45,43.1,N,-115.8,E,22.2,16
10/21/2014,3.4,0.12,22.2,N,132.9,W,NA,NA
10/17/2014,7.2,0.23,-4.6,S,66.3,W,39,NA
10/14/2014,2.9,0.1,-2,S,-119.2,E,27.2,16.9
10/6/2014,3.9,0.13,-43.7,S,-85.7,E,NA,NA
9/9/2014,2.8,0.098,3.2,N,-137.2,E,32.5,NA
9/5/2014,3.5,0.12,22.7,N,150,W,NA,NA
8/29/2014,2.6,0.092,-6.2,S,49.9,W,NA,NA
8/28/2014,3.4,0.12,3.2,N,45.4,W,NA,NA
8/23/2014,381.9,7.6,-61.7,S,-132.6,E,22.2,16.2
7/29/2014,7.3,0.23,-49.2,S,172.2,W,NA,NA
7/29/2014,5.3,0.17,-33.9,S,115.9,W,NA,NA
6/28/2014,24.5,0.67,18.9,N,-141.2,E,26.3,12.4
6/26/2014,6.1,0.2,-71.5,S,-93.4,E,28.5,11.2
5/29/2014,5.8,0.19,21.9,N,131.1,W,28.7,NA
5/16/2014,13.6,0.4,-39.4,S,95.9,W,30.8,18
5/16/2014,30.9,0.82,-44.2,S,176.2,W,44,16.5
5/8/2014,105,2.4,-36.9,S,-87.3,E,35.4,19
3/29/2014,3.9,0.13,-28.7,S,-121.5,E,30.7,16.3
3/18/2014,54,1.3,0,N,111.8,W,30.5,NA
3/3/2014,9.4,0.29,-29,S,94.9,W,NA,NA
2/18/2014,2.6,0.092,-32.8,S,61.5,W,NA,NA
2/13/2014,63,1.5,13.3,N,110.7,W,25,NA
1/15/2014,14,0.41,-18.5,S,-141.8,E,29.6,NA
1/12/2014,7.8,0.24,2.9,N,-64.4,E,37,16.2
1/8/2014,3.1,0.11,-1.3,S,-147.6,E,18.7,44.8
12/23/2013,14.7,0.43,39.5,N,-2,E,34.3,15.1
12/8/2013,6.4,0.2,32.8,N,165.1,W,23.5,11.8
11/21/2013,7.5,0.23,44.7,N,-35.3,E,59.3,12.4
10/12/2013,161,3.5,-19.1,S,25,W,22.2,12.8
10/9/2013,6,0.19,NA,<NA>,NA,<NA>,NA,NA
9/24/2013,16,0.46,-10.3,S,164.7,W,40.7,NA
8/12/2013,4.4,0.15,-34.4,S,-118.2,E,66.6,NA
7/31/2013,3.9,0.13,NA,<NA>,NA,<NA>,NA,NA
7/31/2013,6.9,0.22,-31.8,S,-137.1,E,29.1,17.8
7/30/2013,39,1,-50.2,S,-90.2,E,25.6,18.8
7/27/2013,12,0.36,0.3,N,-156.2,E,26.5,22.1
7/26/2013,2,0.073,21,N,178.5,W,37,NA
7/18/2013,2.2,0.079,NA,<NA>,NA,<NA>,NA,NA
6/13/2013,2.2,0.079,NA,<NA>,NA,<NA>,NA,NA
6/1/2013,3.4,0.12,-65.6,S,-138.4,E,28.9,NA
5/14/2013,2,0.073,-3,S,-76.4,E,NA,NA
4/30/2013,511,10,35.5,N,30.7,W,21.2,12.1
4/21/2013,106.6,2.5,-28.1,S,64.6,W,40.7,14.9
3/12/2013,2.9,0.1,-32.7,S,-17.1,E,26,NA
2/20/2013,3.2,0.1,-23,S,38.8,W,NA,13.6
2/15/2013,37500,440,54.8,N,-61.1,E,23.3,18.6
2/7/2013,6.5,0.21,-18.8,S,158.6,W,NA,NA
1/25/2013,340,6.9,60.3,N,64.6,W,NA,NA
1/12/2013,4.8,0.16,-15.1,S,155.6,W,36.1,NA
12/30/2012,19.8,0.55,17.3,N,83.6,W,NA,NA
12/18/2012,2.7,0.095,NA,<NA>,NA,<NA>,NA,NA
11/20/2012,2.5,0.089,2.5,N,-29.6,E,33.3,14.3
11/20/2012,12,0.36,-8,S,86,W,NA,NA
10/25/2012,3,0.1,NA,<NA>,NA,<NA>,NA,NA
10/19/2012,2.3,0.082,-75.4,S,-49.6,E,29.3,13.2
10/9/2012,21,0.58,51.2,N,84.6,W,27.8,13.5
10/3/2012,28,0.75,-41.5,S,21.9,W,NA,17
10/2/2012,47,1.2,-8.1,S,111.9,W,35,15.4
9/28/2012,3.8,0.13,-6.9,S,-73.7,E,NA,NA
9/18/2012,24.4,0.67,1.2,N,52.2,W,28.1,18.3
9/11/2012,5.2,0.17,-18.9,S,-105.2,E,NA,NA
9/10/2012,2.3,0.082,-69.8,S,111.7,W,23.8,16.9
8/27/2012,6.8,0.22,-18.3,S,-64.2,E,38.7,28.9
8/26/2012,24.9,0.68,11.8,N,-117,E,36,12.7
8/13/2012,3.3,0.11,NA,<NA>,NA,<NA>,NA,NA
7/27/2012,3.4,0.12,63.1,N,-172.3,E,27.2,NA
7/25/2012,13.3,0.39,36.4,N,-41.5,E,26.8,18.5
6/5/2012,2.4,0.086,NA,<NA>,NA,<NA>,NA,NA
5/25/2012,6,0.19,-41.8,S,36.2,W,NA,NA
5/22/2012,21.1,0.59,NA,<NA>,NA,<NA>,NA,NA
5/15/2012,13.2,0.39,-61.8,S,135.5,W,33.3,17.1
5/4/2012,22.9,0.63,76.7,N,10.6,W,NA,NA
4/23/2012,4.4,0.15,36.2,N,-107.4,E,25.2,NA
4/21/2012,14.3,0.42,-15.8,S,174.8,W,NA,NA
4/19/2012,3,0.1,5.5,N,-16.8,E,NA,NA
4/2/2012,3.2,0.11,28.1,N,95.2,W,NA,NA
3/12/2012,9.9,0.3,2.5,N,-139.8,E,25,11.8
3/3/2012,10.1,0.31,7.8,N,-2.7,E,20.4,NA
3/1/2012,2.2,0.079,46.9,N,29.8,W,NA,NA
2/24/2012,3.7,0.13,-22.7,S,-30.8,E,NA,NA
2/17/2012,15.4,0.44,-3.2,S,39.9,W,45.6,NA
2/12/2012,14,0.41,-31.7,S,-54.9,E,61,NA
2/4/2012,15,0.43,32.4,N,-0.1,E,34.2,12.2
1/15/2012,2.1,0.076,-64.1,S,-109.9,E,26.3,12.3
1/11/2012,8.5,0.26,32.2,N,-88.5,E,NA,NA
12/19/2011,13.5,0.4,-30.2,S,-52.6,E,36.1,NA
12/14/2011,5,0.16,-62.9,S,-89.6,E,32.4,NA
12/11/2011,2.9,0.1,NA,<NA>,NA,<NA>,NA,NA
11/20/2011,2.3,0.082,-27.9,S,-116.3,E,NA,NA
10/12/2011,3.6,0.12,-26.4,S,78.4,W,NA,NA
9/13/2011,6.7,0.21,-19.9,S,13.8,W,21.3,16.7
8/31/2011,2.7,0.095,18.6,N,5.1,W,NA,NA
8/20/2011,2.3,0.082,-27.2,S,2.8,W,NA,NA
8/18/2011,2.3,0.082,NA,<NA>,NA,<NA>,NA,NA
8/11/2011,3.5,0.12,NA,<NA>,NA,<NA>,NA,NA
8/4/2011,2.8,0.098,-40.7,S,86.7,W,63,NA
7/27/2011,4.4,0.15,-45.3,S,-63.5,E,29.6,NA
7/7/2011,3.3,0.11,NA,<NA>,NA,<NA>,NA,NA
7/5/2011,6.5,0.21,29.1,N,-139.7,E,40.7,NA
7/4/2011,2.9,0.1,-51.7,S,-175,E,NA,NA
6/16/2011,2.4,0.086,67.3,N,21.4,W,40.5,NA
5/25/2011,228,4.8,4.1,N,-14,E,59,11.6
5/16/2011,2,0.073,-1.2,S,-92.8,E,NA,NA
4/27/2011,22,0.61,1.4,N,126.6,W,28.7,NA
4/27/2011,2.4,0.086,NA,<NA>,NA,<NA>,NA,NA
4/17/2011,2.4,0.086,NA,<NA>,NA,<NA>,NA,NA
4/6/2011,14.8,0.43,71.1,N,43.5,W,22.2,12.7
3/24/2011,5.8,0.19,0.6,N,127.5,W,59,NA
3/23/2011,3.1,0.11,NA,<NA>,NA,<NA>,NA,NA
3/23/2011,2.2,0.079,-16.8,S,85.6,W,NA,NA
3/1/2011,3.7,0.13,53.5,N,-103.9,E,30.6,11.9
2/21/2011,3.9,0.13,26.3,N,-43.7,E,44.4,18
2/12/2011,2,0.073,7.8,N,95.3,W,NA,NA
1/21/2011,7.2,0.23,18.9,N,44.6,W,61,NA
1/8/2011,2.9,0.1,33.3,N,125.8,W,48,NA
12/25/2010,2000,33,38,N,-158,E,26,18.1
12/14/2010,3.9,0.13,-4.9,S,-175.5,E,24,NA
12/9/2010,6.3,0.2,-54.5,S,169.7,W,66,NA
12/1/2010,13.3,0.39,-72.5,S,-144.9,E,33.3,NA
11/21/2010,8.1,0.25,1.9,N,-143.3,E,50,NA
11/19/2010,3.3,0.11,-10.3,S,-148.8,E,30,NA
11/10/2010,6.8,0.22,74.5,N,77.7,W,NA,NA
11/9/2010,8.6,0.27,-56.3,S,16.7,W,37,NA
11/9/2010,2,0.073,-14,S,160,W,26,NA
10/27/2010,14.5,0.42,-14.1,S,-67.7,E,35.2,NA
10/8/2010,2,0.073,NA,<NA>,NA,<NA>,NA,NA
9/24/2010,5,0.16,-67.4,S,50.6,W,NA,NA
9/18/2010,6.7,0.21,7.4,N,-36.7,E,NA,NA
9/8/2010,6.5,0.21,-13.9,S,65.5,W,46.3,NA
9/5/2010,68.3,1.7,-25.9,S,-49,E,35.2,NA
9/3/2010,175,3.8,-61,S,-146.7,E,33.3,12.3
8/17/2010,2.1,0.076,20.7,N,114.3,W,33.3,NA
7/15/2010,2.4,0.086,60.9,N,178.1,W,NA,NA
7/6/2010,756,14,-34.1,S,174.5,W,26,15.7
6/26/2010,11.3,0.34,-0.5,S,-133.2,E,50,NA
6/21/2010,16.3,0.47,-22.5,S,120.9,W,NA,NA
6/17/2010,11.9,0.35,-26.1,S,-100,E,42,NA
4/17/2010,5.6,0.18,13.1,N,173,W,NA,NA
4/16/2010,84.4,2,1.8,N,176.9,W,22.2,18.8
4/6/2010,8,0.25,52.8,N,146.5,W,NA,NA
3/18/2010,17.5,0.5,-32.4,S,51.8,W,NA,NA
3/15/2010,8,0.25,NA,<NA>,NA,<NA>,NA,NA
3/14/2010,4.2,0.14,33.8,N,90.2,W,35.6,NA
3/8/2010,3,0.1,18.2,N,-110.1,E,53,NA
3/8/2010,32.3,0.85,32,N,92.9,W,52,24.5
2/28/2010,15.3,0.44,48.7,N,-21,E,37,15.1
2/26/2010,23.7,0.65,-37.3,S,166,W,NA,NA
2/24/2010,9.3,0.28,-2.6,S,102.2,W,NA,NA
1/15/2010,49.2,1.2,-8.3,S,-27,E,25,14
12/31/2009,8.3,0.26,NA,<NA>,NA,<NA>,NA,NA
12/31/2009,10.2,0.31,37.9,N,178.3,W,20.7,NA
11/25/2009,6.4,0.2,-52.8,S,-136.5,E,NA,NA
11/21/2009,1000,18,-22,S,-29.2,E,38,32.1
11/18/2009,8.5,0.26,NA,<NA>,NA,<NA>,NA,NA
11/18/2009,73.6,1.8,40.4,N,113.2,W,31.5,NA
11/14/2009,2.3,0.082,NA,<NA>,NA,<NA>,NA,NA
11/7/2009,2.2,0.079,45.5,N,157.7,W,NA,NA
11/7/2009,4.2,0.14,24,N,-64.1,E,37,NA
10/11/2009,7.1,0.22,-78.3,S,-70.2,E,27.8,NA
10/8/2009,2000,33,-4.2,S,-120.6,E,19.1,19.2
9/27/2009,8.9,0.27,-36,S,67.6,W,37,NA
9/18/2009,14.4,0.42,7.7,N,29.5,W,NA,NA
9/4/2009,96.5,2.3,42.5,N,-110,E,28.3,24
8/23/2009,28,0.75,-67.7,S,-18.3,E,34,12.2
7/31/2009,2.5,0.089,8.9,N,121.9,W,NA,NA
7/16/2009,72.7,1.8,-24.4,S,59.8,W,32.2,NA
7/3/2009,2.7,0.095,NA,<NA>,NA,<NA>,NA,NA
6/27/2009,3.2,0.11,-26.6,S,12.6,W,26.1,15.2
6/20/2009,2.7,0.095,NA,<NA>,NA,<NA>,NA,NA
6/18/2009,3.3,0.11,-23.7,S,16,W,57.4,NA
6/9/2009,28.1,0.76,54.9,N,152.7,W,34.2,NA
5/31/2009,14.3,0.42,19.7,N,121,W,NA,NA
5/13/2009,7.3,0.23,NA,<NA>,NA,<NA>,NA,NA
5/4/2009,14,0.41,36.4,N,160.4,W,40.7,NA
4/20/2009,2.2,0.079,6,N,-84.3,E,NA,NA
4/10/2009,27,0.73,-44.7,S,-25.7,E,32.4,19.1
3/4/2009,17,0.48,NA,<NA>,NA,<NA>,NA,NA
2/20/2009,5,0.16,-64.9,S,70,W,NA,NA
2/7/2009,160,3.5,56.6,N,-69.8,E,40,15.4
1/12/2009,4.8,0.16,47.8,N,44.3,W,NA,NA
1/10/2009,2.3,0.082,-64,S,-122.8,E,26.5,NA
12/24/2008,3.5,0.12,-68.9,S,102,W,21.1,24.1
12/12/2008,21.6,0.6,-7,S,9.7,W,50,NA
12/9/2008,3.4,0.12,NA,<NA>,NA,<NA>,NA,NA
11/24/2008,14.6,0.42,-57.9,S,-146.1,E,34.8,23.7
11/21/2008,14.2,0.41,53.1,N,109.9,W,28.2,12.9
11/18/2008,2.5,0.089,-29.4,S,-75.9,E,35.2,22.4
11/9/2008,22.2,0.61,14.5,N,-112.7,E,29.6,NA
10/21/2008,4.6,0.15,32.8,N,165.6,W,29.6,11.3
10/10/2008,18,0.51,-57.3,S,-17,E,21.4,NA
10/7/2008,39.5,1,20.9,N,-31.4,E,38.9,13.3
9/9/2008,5.9,0.19,NA,<NA>,NA,<NA>,NA,NA
8/16/2008,13.1,0.38,11.3,N,-97.2,E,NA,NA
8/12/2008,2,0.073,-11.6,S,175,W,NA,NA
8/7/2008,4.1,0.14,18.5,N,-180,E,45.4,13.8
7/23/2008,12.1,0.36,38.6,N,-68,E,31.5,14.5
7/22/2008,6.1,0.2,-17.8,S,89.2,W,54.4,NA
7/11/2008,5.2,0.17,NA,<NA>,NA,<NA>,NA,NA
7/8/2008,6.6,0.21,72.8,N,-147.3,E,52.2,21.7
7/1/2008,3.6,0.12,37.1,N,115.7,W,36.1,9.8
6/27/2008,17.2,0.49,-26.9,S,17.7,W,33.7,23.1
6/18/2008,2.1,0.076,6.1,N,-103.1,E,NA,NA
5/29/2008,2.1,0.076,15.7,N,83.5,W,NA,NA
5/24/2008,15,0.43,0.8,N,-162,E,37,14.2
5/22/2008,2.1,0.076,46.9,N,-134.5,E,NA,NA
5/6/2008,5.7,0.18,NA,<NA>,NA,<NA>,NA,NA
4/30/2008,2,0.073,-33.6,S,35.1,W,NA,NA
4/6/2008,7.7,0.24,NA,<NA>,NA,<NA>,NA,NA
3/15/2008,5,0.16,28,N,41.5,W,26.7,12.9
2/24/2008,7.4,0.23,NA,<NA>,NA,<NA>,NA,NA
2/19/2008,2,0.073,48.9,N,119.8,W,NA,NA
2/18/2008,5,0.16,NA,<NA>,NA,<NA>,NA,NA
2/17/2008,11,0.33,74.9,N,73.4,W,40.4,13.9
2/16/2008,7.1,0.22,NA,<NA>,NA,<NA>,NA,NA
1/18/2008,4.4,0.15,NA,<NA>,NA,<NA>,NA,NA
1/9/2008,4.1,0.14,-66.8,S,67.3,W,31.5,11.6
12/26/2007,13.6,0.4,-61.6,S,158.9,W,NA,NA
12/20/2007,12.2,0.36,51.3,N,-115.4,E,NA,NA
10/25/2007,5.8,0.19,-40.9,S,-91.3,E,46.3,NA
10/12/2007,3.3,0.11,88.5,N,-116.6,E,37,18.4
10/7/2007,5.8,0.19,-35.2,S,-125.6,E,NA,NA
9/22/2007,23.7,0.65,-49.2,S,85.5,W,30.2,16.9
6/11/2007,4.9,0.16,-23.4,S,170.9,W,35.2,17
6/8/2007,23.5,0.65,-52,S,-175.3,E,38.9,NA
6/7/2007,3.1,0.11,21.9,N,-53.1,E,29.6,NA
5/16/2007,3.8,0.13,-4.5,S,-111.7,E,NA,NA
5/16/2007,40,1,-42.4,S,-164,E,31.5,NA
5/4/2007,17.5,0.5,22.9,N,-109.4,E,48,NA
4/18/2007,11.2,0.33,-83.7,S,171.2,W,38,24.4
4/16/2007,2.4,0.086,NA,<NA>,NA,<NA>,NA,NA
3/17/2007,4,0.13,7.1,N,-4.1,E,32.5,14.5
3/15/2007,2.5,0.089,-44.1,S,148.4,W,NA,NA
3/7/2007,2.7,0.095,NA,<NA>,NA,<NA>,NA,NA
2/2/2007,34,0.89,24,N,37.2,W,35.5,NA
1/26/2007,14.7,0.43,3.7,N,-99.7,E,NA,NA
1/22/2007,7.6,0.24,45.4,N,-53.5,E,32,13.4
1/18/2007,3.2,0.11,5.3,N,164.3,W,34.1,NA
1/17/2007,54.8,1.4,-8.7,S,-50.8,E,33.3,NA
1/1/2007,3.6,0.12,44.4,N,-116.5,E,53,NA
12/9/2006,741,14,26.2,N,-26,E,26.5,15.9
12/7/2006,2.1,0.076,14,N,140,W,NA,NA
12/1/2006,6.3,0.2,-13,S,-30.7,E,NA,NA
11/13/2006,2.3,0.082,-44,S,-43.3,E,NA,NA
10/24/2006,22.5,0.62,-1.9,S,2.7,W,43,NA
10/14/2006,25.8,0.7,49.4,N,175,W,44.4,23.9
10/9/2006,4.1,0.14,-47,S,-78.9,E,22.2,NA
10/7/2006,4.1,0.14,-23,S,61.8,W,40.7,NA
10/2/2006,9,0.28,14,N,-53.1,E,42,NA
9/27/2006,10.7,0.32,-32,S,-60.2,E,48.1,NA
9/23/2006,12.1,0.36,-29,S,108,W,NA,NA
9/2/2006,2.2,0.079,NA,<NA>,NA,<NA>,NA,NA
9/2/2006,123,2.8,-14,S,-109.1,E,44.1,14.2
8/29/2006,9.2,0.28,-44,S,162,W,40.7,NA
8/18/2006,3.2,0.11,-43,S,-33.4,E,47.2,NA
8/17/2006,25.6,0.7,-11,S,-165.7,E,48.2,NA
8/15/2006,4.7,0.16,4.9,N,-49.6,E,32.7,NA
8/9/2006,102,2.4,-23.1,S,-53.7,E,37,NA
7/15/2006,8.5,0.26,-78.3,S,5,W,29.6,12.4
